year,stcd,dv,dpres,redist ,dexp ,rexp
1996,1009,34.45,39.01603,1,429454,865898
1996,1010,47.65,51.28388,1,832259,1622486
1996,1011,35.69,40.70569,1,58200,780653
1996,1101,52,62.74467,0,674404,629638
1996,1102,66.21,65.75784,0,315187,88935
1996,1201,48.75,40.38261,0,659753,1129263
1996,1202,30.02,37.8377,0,163532,619581
1996,1301,87.15,88.69415,0,156219,20220
1996,1302,,88.49683,0,260163,
1996,1303,67.11,59.13124,0,455967,202334
1996,1304,,84.86296,0,261252,
1996,1305,64.12,68,0,1552073,735524
1996,1306,34.2,46.87732,0,11139,434160
1996,1307,84.59,85.55919,0,410662,33155
1996,1308,36.7,45.11158,0,30804,534151
1996,1309,63.4,72.69849,0,184005,115401
1996,1310,30.91,53.50078,0,54367,726615
1996,1311,48.23,57.26999,0,481979,1116062
1996,1312,72.93,62.36414,0,506257,4261
1996,1313,40.07,45.26999,0,130612,537449
1996,1314,35.61,46.42923,0,125997,968055
1996,1315,42.67,50.27445,0,369185,664934
1996,1316,39.71,47.09955,0,391414,786063
1996,1317,52.35,57.27339,0,629624,506793
1996,1318,40.75,48.73264,0,113363,699963
1996,1319,67.69,53.73983,0,237030,100055
1996,1320,49.74,53.6525,0,812397,647796
1996,1401,70.3,65.02096,0,318769,47379
1996,1402,40.87,47.75589,0,182508,1050616
1996,1403,58.61,48.67746,0,525727,310084
1996,1404,40.25,40.48233,0,65093,438384
1996,1405,33.68,42.49739,0,6764,227204
1996,1406,23.6,30.86207,0,11273,491082
1996,1407,35.87,40.27982,0,340816,586488
1996,1408,49.15,50.83173,0,470027,529722
1996,1409,57.06,50.3772,0,953113,451475
1996,1410,54.15,59.06571,0,572617,638275
1996,1501,46.34,59.56649,0,419647,369864
1996,1502,46.19,58.6229,0,69796,679904
1996,1503,50.88,56.39156,0,634351,439269
1996,1504,47.31,54.23918,0,853104,2334251
1996,1505,33.93,49.56479,0,126516,477173
1996,1601,24.99,31.19985,0,82631,430261
1996,1602,46.56,44.4479,0,757637,415606
1996,1603,47.68,45.53832,0,840595,465869
1996,1604,48.2,38.28001,0,608355,903348
1996,1701,46.45,52.18207,1,479210,897338
1996,1702,41.91,45.64167,1,480101,639397
1996,1703,49.74,56.89275,0,880073,1181546
1996,1704,31.61,45.21609,1,55239,886717
1996,1705,,52.16582,1,,132717
1996,1706,55.7,50.5,1,574074,435065
1996,1801,,40.26892,1,,1042853
1996,1802,,80.68639,1,301082,
1996,1803,,56.1,1,,612332
1996,1804,,57.10618,1,,823121
1996,1805,41.72,52.60029,1,511183,898428
1996,1806,,53.75981,1,,554968
1996,1807,,60.2,1,513344,
1996,1901,55.32,62.0724,0,933425,906432
1996,1902,74.35,63.33436,0,582648,154653
1996,2001,38.44,47.57228,0,229073,259366
1996,2002,38.17,44.41741,0,638737,844918
1996,2003,67.31,63.18742,0,577270,49459
1996,2004,85.19,83.23847,0,343875,0
1996,2005,56.92,55.36367,0,1155840,236483
1996,2006,43.17,42.38336,0,383127,253966
1996,2007,83.47,84.32988,0,248070,0
1996,2008,38.7,60.22473,0,196858,559807
1996,2101,52.74,70.32266,0,1005595,693538
1996,2102,76.57,68.9987,0,227105,1358
1996,2103,53.86,66.84907,0,806939,1144540
1996,2104,71.66,70.84999,0,334002,108348
1996,2105,,65.1356,0,308067,
1996,2106,50.07,65.79814,0,867335,1120913
1996,2107,69.85,70.14847,0,351683,3033
1996,2108,84.35,79.72782,0,1952906,0
